model,experiment,horizon,router,train_time_sec,inference_time_sec,MAE,RMSE,sMAPE,MSLE,P99_abs_error
TiDE,TiDE_mask_out,6,boston,6.681603908538818,0.2438139915466308,15358853.727586206,19097733.75873908,96.70307871285732,2.940541459045039,49455898.24000003
TiDE,TiDE_mask_out,12,boston,6.681603908538818,0.2438139915466308,11079915.524137933,14570043.658236826,89.39474538751381,2.073079403689194,47531923.840000026
TiDE,TiDE_mask_out,24,boston,6.681603908538818,0.2438139915466308,9663045.362068966,13084894.559078917,91.98241839035845,2.638349050732757,46839093.92
TiDE,TiDE_both,1,boston,7.523052215576172,0.2692060470581054,10308231.024137933,14204576.931592053,79.1769894381654,1.8020039380844168,49222414.56000001
TiDE,TiDE_both,6,boston,7.523052215576172,0.2692060470581054,13715945.831034483,17213728.989510763,92.5863735573982,2.652342047684108,49949781.12000001
TiDE,TiDE_both,12,boston,7.523052215576172,0.2692060470581054,9456992.134482758,12594092.25844794,84.03919319586602,1.772430201445058,42504529.6
TiDE,TiDE_both,24,boston,7.523052215576172,0.2692060470581054,9524353.593103448,13432630.031637844,88.59834156777268,2.440890436113562,47622665.6
GRU-LSTM,GRU_raw,1,dallas,2.127613306045532,0.0053253173828125,396193536.0,407552423.8431565,111.34832000732422,1.9911710023880005,602352192.0
GRU-LSTM,GRU_raw,6,dallas,2.127613306045532,0.0053253173828125,529072384.0,540378907.1167004,123.29042053222656,2.635337829589844,643196032.0
GRU-LSTM,GRU_raw,12,dallas,2.127613306045532,0.0053253173828125,514917760.0,529129352.2101705,121.81389617919922,2.5859506130218506,682999360.0
GRU-LSTM,GRU_raw,24,dallas,2.127613306045532,0.0053253173828125,569066048.0,573900723.9888468,127.19496154785156,2.8418400287628174,745679552.0
GRU-LSTM,GRU_mask_out,1,dallas,1.796656370162964,0.0018017292022705,70211568.0,93982234.35185048,37.049076080322266,0.2470432221889495,216454800.0
GRU-LSTM,GRU_mask_out,6,dallas,1.796656370162964,0.0018017292022705,559365056.0,569020010.044125,125.91584777832033,2.7555954456329346,668606656.0
GRU-LSTM,GRU_mask_out,12,dallas,1.796656370162964,0.0018017292022705,179243520.0,203368197.61219612,75.48532104492188,0.9902269244194032,299570144.0
GRU-LSTM,GRU_mask_out,24,dallas,1.796656370162964,0.0018017292022705,483203232.0,489588695.8336448,119.8766860961914,2.474354982376098,651955200.0
GRU-LSTM,GRU_score_as_feature,1,dallas,0.6793463230133057,0.0053892135620117,372364704.0,394367529.0261907,107.05953979492188,1.969597578048706,616452800.0
GRU-LSTM,GRU_score_as_feature,6,dallas,0.6793463230133057,0.0053892135620117,467866080.0,478974230.8005722,118.0226593017578,2.3519322872161865,603851520.0
GRU-LSTM,GRU_score_as_feature,12,dallas,0.6793463230133057,0.0053892135620117,198279248.0,221846397.5060984,79.41190338134766,1.0642452239990234,355195808.0
GRU-LSTM,GRU_score_as_feature,24,dallas,0.6793463230133057,0.0053892135620117,605311680.0,612776221.0123031,129.5037384033203,3.0079619884490967,849879104.0
GRU-LSTM,GRU_both,1,dallas,1.202298641204834,0.0056545734405517,361210080.0,387121235.2097422,105.23617553710938,1.8687775135040283,678013056.0
GRU-LSTM,GRU_both,6,dallas,1.202298641204834,0.0056545734405517,548494656.0,557350325.37755,125.27720642089844,2.6915552616119385,668840384.0
GRU-LSTM,GRU_both,12,dallas,1.202298641204834,0.0056545734405517,240545968.0,263118315.3243464,87.72118377685547,1.3038313388824463,376910784.0
GRU-LSTM,GRU_both,24,dallas,1.202298641204834,0.0056545734405517,924564480.0,929055718.41075,146.7069091796875,4.254087924957275,1176377216.0
SARIMA,SARIMA_raw,1,dallas,3.912454128265381,0.012845754623413,1424842091.1619804,1461214577.805653,160.88397637664718,5.750994541459307,1992125953.647502
SARIMA,SARIMA_raw,6,dallas,3.912454128265381,0.012845754623413,1417625458.6775205,1452079476.5685382,160.58738940937906,5.660149952107635,1988861553.85637
SARIMA,SARIMA_raw,12,dallas,3.912454128265381,0.012845754623413,1413291811.6381848,1447435434.8859198,160.5905360448997,5.648405045495977,1988861553.85637
SARIMA,SARIMA_raw,24,dallas,3.912454128265381,0.012845754623413,1414557244.5310977,1449980305.6549847,160.33136078899423,5.768776669428046,1988861553.85637
XGBoost,XGB_raw,1,dallas,7.109746694564819,0.0135941505432128,1425238784.0,1436228005.5468457,160.75076293945312,5.896311283111572,1625740672.0
XGBoost,XGB_raw,6,dallas,6.046204566955566,0.0191085338592529,2159952896.0,2162668108.739556,172.38241577148438,7.708655834197998,2351138048.0
XGBoost,XGB_raw,12,dallas,6.111027717590332,0.0130698680877685,1553751680.0,1559028971.3121743,163.7113494873047,6.172750473022461,1789069056.0
XGBoost,XGB_raw,24,dallas,7.010568380355835,0.0020718574523925,1924496896.0,1931449311.5584388,169.36610412597656,7.251130104064941,2299679232.0
NBEATS,NBEATS_raw,1,dallas,7.634027242660522,0.7392759323120117,115417157.15862069,134626300.50307846,60.56405645361953,2.884835405644789,276177570.88000005
NBEATS,NBEATS_raw,6,dallas,7.634027242660522,0.7392759323120117,301950786.92413795,332520341.45668966,97.0772830328254,1.6310662366042112,574805464.64
NBEATS,NBEATS_raw,12,dallas,7.634027242660522,0.7392759323120117,176597978.75862068,208399706.22772697,74.53794373176291,0.971113944139228,530080280.3200002
NBEATS,NBEATS_raw,24,dallas,7.634027242660522,0.7392759323120117,420982485.79310346,466982502.0932381,111.00077560316268,2.010834883122593,1147084536.0
NBEATS,NBEATS_mask_out,1,dallas,6.653043508529663,0.3210189342498779,174271461.79310346,201706947.4365812,199.7037202733483,351.992905507598,404669600.0000002
NBEATS,NBEATS_mask_out,6,dallas,6.653043508529663,0.3210189342498779,174608871.11724138,203463036.23259845,190.59059747040973,330.7609602986008,404669600.0000002
NBEATS,NBEATS_mask_out,12,dallas,6.653043508529663,0.3210189342498779,174533827.58620688,201384511.9292941,200.0,354.7414887224504,404669600.0000002
NBEATS,NBEATS_mask_out,24,dallas,6.653043508529663,0.3210189342498779,220315661.324138,342221170.4523858,115.27475703016508,30.86809955090376,1110827576.3200002
TiDE,TiDE_raw,1,dallas,3.051269769668579,0.2232584953308105,192100181.73793104,221600336.6489257,78.47392245412354,1.049088459872933,510023856.32000005
